ImageNumber,ObjectNumber,Children_FilterObjects_Count,Children_MaskedNuclei_Count,Children_RNA_Green_Count,Classify_colocalized,Classify_not_colocalized,Location_Center_X,Location_Center_Y,Location_Center_Z,Mean_RNA_Green_Location_Center_X,Mean_RNA_Green_Location_Center_Y,Mean_RNA_Green_Location_Center_Z,Mean_RNA_Green_Number_Object_Number,Number_Object_Number,Parent_Nuclei
1,219,0,0,0,0,1,885.4166666666666,459.0833333333333,0,nan,nan,nan,nan,219,0
1,220,0,1,0,0,1,916.0,458.8076923076923,0,nan,nan,nan,nan,220,75
1,221,0,1,0,0,1,920.7894736842105,458.6842105263158,0,nan,nan,nan,nan,221,75
1,222,0,0,0,0,1,958.6666666666666,459.1111111111111,0,nan,nan,nan,nan,222,0
1,223,0,0,0,0,1,1004.2222222222222,459.5,0,nan,nan,nan,nan,223,0
1,224,0,0,0,0,1,842.0714285714286,459.0357142857143,0,nan,nan,nan,nan,224,0
1,225,0,0,0,0,1,851.2307692307693,460.15384615384613,0,nan,nan,nan,nan,225,0
1,226,0,1,0,0,1,898.5510204081633,461.83673469387753,0,nan,nan,nan,nan,226,67
1,227,0,1,0,0,1,945.5769230769231,460.11538461538464,0,nan,nan,nan,nan,227,75
1,228,0,1,0,0,1,973.925925925926,459.6666666666667,0,nan,nan,nan,nan,228,72
1,229,0,1,0,0,1,978.4,460.4,0,nan,nan,nan,nan,229,72
1,230,0,0,0,0,1,1013.875,460.125,0,nan,nan,nan,nan,230,0
1,231,0,0,0,0,1,1030.2,459.3,0,nan,nan,nan,nan,231,0
1,232,0,0,0,0,1,1033.7391304347825,459.3478260869565,0,nan,nan,nan,nan,232,0
1,233,0,0,0,0,1,1081.157894736842,459.42105263157896,0,nan,nan,nan,nan,233,0
1,234,0,1,0,0,1,1235.3793103448277,460.1034482758621,0,nan,nan,nan,nan,234,73
1,235,0,1,0,0,1,1262.0,459.85714285714283,0,nan,nan,nan,nan,235,82
1,236,0,1,0,0,1,949.8888888888889,459.6666666666667,0,nan,nan,nan,nan,236,75
1,237,0,1,0,0,1,953.5,461.5,0,nan,nan,nan,nan,237,75
1,238,0,0,0,0,1,1019.8125,460.5,0,nan,nan,nan,nan,238,0
1,239,0,0,0,0,1,1040.888888888889,461.22222222222223,0,nan,nan,nan,nan,239,0
1,240,0,0,0,0,1,1211.125,461.125,0,nan,nan,nan,nan,240,0
1,241,0,1,0,0,1,930.8636363636364,461.3181818181818,0,nan,nan,nan,nan,241,75
1,242,0,0,0,0,1,1044.5,461.7142857142857,0,nan,nan,nan,nan,242,0
1,243,0,1,0,0,1,1228.6153846153845,462.38461538461536,0,nan,nan,nan,nan,243,81
1,244,0,1,0,0,1,1249.5925925925926,462.6666666666667,0,nan,nan,nan,nan,244,73
1,245,0,1,0,0,1,841.0,462.8888888888889,0,nan,nan,nan,nan,245,79
1,246,0,1,0,0,1,915.0833333333334,464.0833333333333,0,nan,nan,nan,nan,246,75
1,247,0,0,0,0,1,1004.5,463.0,0,nan,nan,nan,nan,247,0
1,248,0,0,0,0,1,1012.5,462.9,0,nan,nan,nan,nan,248,0
1,249,0,0,0,0,1,1031.2,463.5,0,nan,nan,nan,nan,249,0
