ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_TUJWithinDAPI
1,251,2168.7,890.4,0,251,4241
1,252,2324.625,890.25,0,252,4243
1,253,2600.3333333333335,890.1111111111111,0,253,4248
1,254,2193.875,891.125,0,254,4255
1,255,2158.8709677419356,890.6451612903226,0,255,4265
1,256,2203.5714285714284,891.3809523809524,0,256,4266
1,257,1622.0625,893.6875,0,257,4280
1,258,2329.7727272727275,895.469696969697,0,258,4291
1,259,1592.0,898.2222222222222,0,259,4305
1,260,2403.025,897.0,0,260,4310
1,261,2408.904761904762,898.047619047619,0,261,4311
1,262,1596.25,900.6875,0,262,4331
1,263,1590.576923076923,902.1153846153846,0,263,4343
1,264,2213.5,902.5,0,264,4345
1,265,2405.4594594594596,903.3243243243244,0,265,4361
1,266,2306.5,906.0,0,266,4380
1,267,2296.3214285714284,908.1607142857143,0,267,4397
1,268,2085.0,911.8,0,268,4438
1,269,2083.4444444444443,913.6666666666666,0,269,4453
1,270,2129.181818181818,914.2727272727273,0,270,4455
1,271,1842.8666666666666,916.5333333333333,0,271,4482
1,272,2388.566037735849,918.377358490566,0,272,4486
